 , Amplitude, Frequency, Phase, Phaseshift, THD_percentage_of_fundamental
Fundamental, 9.843 A, 50 Hz, -79.532995 °, 0.000000 °, 100 %
3th, 8.1065 A, 150 Hz, 113.245830 °, 192.778825 °, 100 %
5th, 5.2065 A, 250 Hz, -46.151657 °, 33.381338 °, 100 %
7th, 2.7326 A, 350 Hz, 171.164843 °, 250.697838 °, 100 %
9th, 1.8056 A, 450 Hz, 52.560078 °, 132.093073 °, 100 %
11th, 1.6126 A, 550 Hz, -78.527725 °, 1.005270 °, 100 %
13th, 1.1956 A, 650 Hz, 142.527058 °, 222.060053 °, 100 %
15th, 0.94356 A, 752 Hz, -165.803467 °, -86.270472 °, 100 %
17th, 0.97998 A, 852 Hz, 67.639979 °, 147.172974 °, 100 %
19th, 1.0057 A, 952 Hz, -68.116407 °, 11.416588 °, 100 %
21st, 0.88291 A, 1052 Hz, 159.434976 °, 238.967971 °, 100 %
23th, 0.82846 A, 1152 Hz, 31.808739 °, 111.341734 °, 100 %
25th, 0.81135 A, 1252 Hz, -99.724326 °, -20.191331 °, 100 %
27th, 0.72171 A, 1352 Hz, 128.127419 °, 207.660414 °, 100 %
29th, 0.6591 A, 1452 Hz, -0.051344 °, 79.481652 °, 100 %
30th, 0.61526 A, 1552 Hz, -130.566030 °, -51.033035 °, 100 %
